# pin 1f70213d4922b434345f639b441681e470c7cfc1
token/-1/Name	value:nil
token/-1/Expression	panic:message:Unhandled case in Node.Expression: Kind(-1)
token/-1/Type	value:nil
token/-1/Initializer	panic:message:Unhandled case in Node.Initializer
token/-1/TagName	panic:message:Unhandled case in Node.TagName: Kind(-1)
token/-1/PropertyName	value:nil
token/-1/Label	panic:message:Unhandled case in Node.Label: Kind(-1)
token/-1/Attributes	panic:message:Unhandled case in Node.Attributes: Kind(-1)
token/-1/ModuleSpecifier	panic:message:Unhandled case in Node.ModuleSpecifier: Kind(-1)
token/-1/ImportClause	panic:message:Unhandled case in Node.ImportClause: Kind(-1)
token/-1/Statement	panic:message:Unhandled case in Node.Statement: Kind(-1)
token/-1/PostfixToken	value:nil
token/-1/QuestionDotToken	panic:message:Unhandled case in Node.QuestionDotToken: Kind(-1)
token/-1/TypeExpression	panic:message:Unhandled case in Node.TypeExpression: Kind(-1)
token/-1/ClassName	panic:message:Unhandled case in Node.ClassName: Kind(-1)
token/-1/Body	value:nil
token/-1/PropertyNameOrName	value:nil
token/-1/ArgumentList	panic:message:Unhandled case in Node.Arguments: Kind(-1)
token/-1/TypeArgumentList	panic:message:Unhandled case in Node.TypeArguments
token/-1/TypeParameterList	panic:message:Unhandled case in Node.TypeParameterList
token/-1/ParameterList	panic:nil
token/-1/MemberList	panic:message:Unhandled case in Node.MemberList: Kind(-1)
token/-1/StatementList	panic:message:Unhandled case in Node.StatementList: Kind(-1)
token/-1/CommentList	panic:message:Unhandled case in Node.CommentList: Kind(-1)
token/-1/Children	panic:message:Unhandled case in Node.Children: Kind(-1)
token/-1/PropertyList	panic:message:Unhandled case in Node.PropertyList: Kind(-1)
token/-1/ElementList	panic:message:Unhandled case in Node.ElementList: Kind(-1)
token/-1/Modifiers	value:nil
token/-1/Arguments	panic:message:Unhandled case in Node.Arguments: Kind(-1)
token/-1/TypeArguments	panic:message:Unhandled case in Node.TypeArguments
token/-1/TypeParameters	panic:message:Unhandled case in Node.TypeParameterList
token/-1/Parameters	panic:nil
token/-1/Members	panic:message:Unhandled case in Node.MemberList: Kind(-1)
token/-1/Statements	panic:message:Unhandled case in Node.StatementList: Kind(-1)
token/-1/ModifierNodes	value:
token/-1/Comments	panic:message:Unhandled case in Node.CommentList: Kind(-1)
token/-1/Properties	panic:message:Unhandled case in Node.PropertyList: Kind(-1)
token/-1/Elements	panic:message:Unhandled case in Node.ElementList: Kind(-1)
token/-1/QuestionToken	value:nil
token/-1/ModifierFlags	value:0
token/-1/KindString	value:Kind(-1)
token/-1/KindValue	value:-1
token/-1/CanHaveStatements	value:false
token/-1/IsTypeOnly	value:false
token/-1/Text	panic:message:Unhandled case in Node.Text: *ast.Token
token/-1/RawText	panic:message:Unhandled case in Node.RawText: Kind(-1)
token/-1/SetExpression	panic:message:Unhandled case in mutableNode.SetExpression: Kind(-1)
token/-1/SetType	panic:message:Unhandled case in mutableNode.SetType: Kind(-1)
token/-1/SetInitializer	panic:message:Unhandled case in mutableNode.SetInitializer
token/-1/SetModifiers	value:0
token/0/Name	value:nil
token/0/Expression	panic:message:Unhandled case in Node.Expression: KindUnknown
token/0/Type	value:nil
